Date,AAPL_Forecast
2024-01-01,48.29
2024-01-02,50.5
2024-01-03,50.07
2024-01-04,50.05
2024-01-05,50.4
2024-01-08,50.72
2024-01-09,50.88
2024-01-10,51.17
2024-01-11,51.25
2024-01-12,51.3
2024-01-15,51.33
2024-01-16,51.32
2024-01-17,51.65
2024-01-18,52.03
2024-01-19,52.18
2024-01-22,52.09
2024-01-23,52.42
2024-01-24,52.72
2024-01-25,53.03
2024-01-26,53.42
2024-01-29,52.26
2024-01-30,52.0
2024-01-31,52.65
2024-02-01,53.05
2024-02-02,53.15
2024-02-05,53.12
2024-02-06,53.05
2024-02-07,52.31
2024-02-08,51.71
2024-02-09,50.94
